storm,pr_max,pr_max_tc,t2m_max_pr,pr_int,pr_int_tc,pr_sum,sc_max,sm_prev,sm_max,t2m_min_pr,t2m_mean_pr,MltnInd,Dd_km-1,SlopeMn,Tc_Clfr,Area_m2,RvrsSlD,MnRvrSD
2,1.8663224,0.10465029274003856,12.00881577,0.5440304859444444,0.030505420506977538,58.755292481999994,0.0,0.112169142,0.42697435,5.0,11.09421129692685,1.32,0.002336246219677,29.94,0.07546034728812,587847.1373637415,25.0,28.621938080137912
3,0.4050147831,0.022710393239377197,25.8201485,0.07932875021538462,0.004448200875015698,1.0312737528,0.0,0.1094791776,0.1844490457,20.34602547,26.35957703307692,1.32,0.002336246219677,29.94,0.07546034728812,587847.1373637415,25.0,28.621938080137912
0,3.43872969142857,0.28910919105080735,19.5835604014286,0.6447608512617021,0.054207892116132236,60.6075200186,0.0,0.110518662,0.431045,9.09530271771429,20.858085912729333,0.86,0.00288684832027,27.41,0.169644178760078,1788935.0354706987,26.6,26.028782901383778
1,0.203259645142857,0.017088935989066592,28.8640793285714,0.037354650074988054,0.0031405703949586253,0.8965116017997132,0.0,0.112796007,0.247651311,14.8397236,21.947606125595232,0.86,0.00288684832027,27.41,0.169644178760078,1788935.0354706987,26.6,26.028782901383778
2,1.98619582,0.16698825389504243,12.4101347271429,0.542092350065873,0.045576097822701195,58.54597380711428,0.0,0.112169142,0.42697435,5.73273514285714,11.559486367323414,0.86,0.00288684832027,27.41,0.169644178760078,1788935.0354706987,26.6,26.028782901383778
3,0.442782031614286,0.03722664078276486,26.6361841571429,0.08845803167472524,0.007437057365448853,1.1499544117714282,0.0,0.1094791776,0.1844490457,21.2001634357143,27.049451115934065,0.86,0.00288684832027,27.41,0.169644178760078,1788935.0354706987,26.6,26.028782901383778
0,3.017160416,0.27005905765478105,21.16708374,0.5933251417138298,0.053107162550725416,55.7725633211,0.0,0.110518662,0.431045,11.723431587,22.496953895363834,0.77,0.004160229905086,27.1,0.192279035465176,1457070.0946685725,24.4,22.29892912441877
1,0.099534236,0.008909079489444218,26.7403603,0.018286889902041668,0.0016368172630772393,0.438885357649,0.0,0.112796007,0.247651311,16.7884521,23.242942616666667,0.77,0.004160229905086,27.1,0.192279035465176,1457070.0946685725,24.4,22.29892912441877
2,2.28587937,0.20460378085999145,13.41343212,0.5372470103694444,0.04808773858321114,58.0226771199,0.0,0.112169142,0.42697435,7.564573,12.722674043314814,0.77,0.004160229905086,27.1,0.192279035465176,1457070.0946685725,24.4,22.29892912441877
3,0.5372001529,0.04808354447938585,28.6762733,0.11128123532307692,0.009960526257285383,1.4466560592,0.0,0.1094791776,0.1844490457,23.33550835,28.774136323076924,0.77,0.004160229905086,27.1,0.192279035465176,1457070.0946685725,24.4,22.29892912441877
0,3.383789638375,0.5330046096051484,16.6462474665417,0.5509936077922822,0.08679089547578757,51.79339913247453,28.5714285714286,0.12807088,0.43632178,8.23808058104167,18.1842934806043,0.52,0.002834965785248,24.08,0.595479012112438,6687595.615454227,16.5,14.049006310389677
1,0.0086749214583333,0.0013664481600205928,25.5553144541667,0.0014944784983228958,0.000235405865520771,0.0358674839597495,0.0,0.12868981,0.211912076,13.3030910333333,20.27608955520833,0.52,0.002834965785248,24.08,0.595479012112438,6687595.615454227,16.5,14.049006310389677
2,2.70199462333333,0.4256102604701539,12.7360517958333,0.49570166808514665,0.07808147146086387,53.53578015319584,8.82352941176471,0.129062755,0.42257836,4.19019054166667,10.799700538361806,0.52,0.002834965785248,24.08,0.595479012112438,6687595.615454227,16.5,14.049006310389677
3,0.886686717445833,0.13966828857045846,27.1291678783333,0.11399050387083332,0.017955449512974238,1.481876550320833,0.0,0.1273329248,0.1684282833,18.4717197441667,25.28385841022437,0.52,0.002834965785248,24.08,0.595479012112438,6687595.615454227,16.5,14.049006310389677
0,3.47429864385,0.46022715938069875,15.78121519105,0.5752101115298026,0.07619590104754545,54.06975048380145,14.2857142857143,0.126629884,0.434674472,7.48569669725,17.459939987841544,0.7,0.002269541058802,27.42,0.421135096688437,5227821.987767971,22.5,18.892372812133157
1,0.09601635575,0.012718922346854233,24.099766265,0.01717337528215417,0.002274891865463294,0.41216100677170003,0.0,0.127385296,0.2151320986,12.5597824,19.151675722083333,0.7,0.002269541058802,27.42,0.421135096688437,5227821.987767971,22.5,18.892372812133157
2,2.759781608,0.3655777986182162,11.102347277,0.5175356056268056,0.06855597807563651,55.893845407695,20.0,0.127847113,0.424568456,3.82822865,9.819736750192684,0.7,0.002269541058802,27.42,0.421135096688437,5227821.987767971,22.5,18.892372812133157
3,0.868882542815,0.11509757378602899,25.950384904,0.11561577388961539,0.0153151829049029,1.503005060565,0.0,0.125955409,0.1759665321,17.649204637,24.23943527042308,0.7,0.002269541058802,27.42,0.421135096688437,5227821.987767971,22.5,18.892372812133157
0,3.49380417429412,0.44554773668489195,16.1038063274706,0.592214363955086,0.07552219767605636,55.66815021177808,15.0,0.12317895275,0.43276888,7.815601966,17.891952729491425,0.64,0.00232807130755,26.76,0.390303644601196,4816455.335406943,21.7,18.96371876820001
1,0.193666004764706,0.02469727717729159,23.5065075647059,0.03454643378272302,0.0044055375214429445,0.8291144107853525,0.0,0.1241966165,0.22559598175,12.7678889,19.03209294950981,0.64,0.00232807130755,26.76,0.390303644601196,4816455.335406943,21.7,18.96371876820001
2,2.75981835588235,0.35194611969723016,10.2095411517647,0.5429990131104576,0.0692460049975107,58.643893415929426,27.2727272727273,0.124668749,0.4267323275,4.30931129411765,9.644179003814271,0.64,0.00232807130755,26.76,0.390303644601196,4816455.335406943,21.7,18.96371876820001
